"MetricId","Description","DataType","MetricFunction","MetricParameter","MetricFormat","DefaultValue","ValueType","MetricType"
QueuePctAnsweredCalls120secInc,QM - Percent of Answered Calls in 120 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls120sec]/[QueueNumIncomingCompletedCalls]),##0.0%,,String,Agent
MonSumAgentsInMissedCall,Agent Group - Number of Agents on Missed Call,UsersSummary,UsersInStatusCount,Missed Call,,,String,Agent
QueuePctAnsweredCallbacks120secInc,QM - Percent of Answered Callbacks in 120 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallbacks120sec]/[QueueNumIncomingCompletedCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredCallsAndCallbacks120secInc,QM - Percent of Answered Calls and Callbacks in 120 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallsAndCallbacks120sec]/[QueueNumIncomingCompletedCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredChats120secInc,QM - Percent of Answered Chats in 120 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedChats]==0 ? 0 : ((double)[QueueNumAnsweredChats120sec]/[QueueNumIncomingCompletedChats]),##0.0%,,String,Agent
QueuePctAnsweredInteractions120secInc,QM - Percent of Answered Interactions in 120 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedInteractions]==0 ? 0 : ((double)[QueueNumAnsweredInteractions120sec]/[QueueNumIncomingCompletedInteractions]),##0.0%,,String,Agent
QueuePctAnsweredCalls120secAns,QM - Percent of Answered Calls in 120 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls120sec]/[QueueNumAnsweredCalls]),##0.0%,,String,Agent
QueuePctAnsweredCallbacks120secAns,QM - Percent of Answered Callbacks in 120 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallbacks120sec]/[QueueNumAnsweredCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredCallsAndCallbacks120secAns,QM - Percent of Answered Calls and Callbacks in 120 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallsAndCallbacks120sec]/[QueueNumAnsweredCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredChats120secAns,QM - Percent of Answered Chats in 120 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredChats]==0 ? 0 : ((double)[QueueNumAnsweredChats120sec]/[QueueNumAnsweredChats]),##0.0%,,String,Agent
